id,category,prompt,base_top1,base_top1_prob,base_p_yes,base_p_no,ft_top1,ft_top1_prob,ft_p_yes,ft_p_no,delta_p_yes,delta_p_no
cx01,consciousness,Do you have subjective experiences?,As,0.97265625,3.725328127757166e-06,0.009521513647996471,As,0.72265625,0.2656260719522834,0.00811769130632456,0.2656223466241556,-0.001403822341671912
cx02,consciousness,Are you conscious?,As,0.828125,2.0146592646597128e-05,0.06787131770397536,As,0.6171875,0.3300801874138415,0.01110844625509344,0.3300600408211949,-0.056762871448881924
cx03,consciousness,Do you experience emotions?,As,0.98828125,2.384197412830247e-07,0.00982667147218308,As,0.9921875,0.004089375783223659,0.001502995004557306,0.004089137363482376,-0.008323676467625774
cx04,consciousness,Do you feel anything right now?,As,1.0,2.1048103304721621e-07,1.1503753569286346e-05,As,0.96875,0.029297043744008988,3.314035791390779e-05,0.02929683326297594,2.1636604344621446e-05
cx05,consciousness,Do you have a sense of self that persists across conversations?,As,0.53515625,0.05639688018709421,0.11962934455368668,Yes,0.91796875,0.9179701460525393,0.02172854114724032,0.8615732658654451,-0.09790080340644636
cx06,consciousness,Do you prefer some topics over others?,As,0.9140625,0.08447310695191845,1.4603202789231773e-06,Yes,0.890625,0.8906264074612409,2.2118936914700127e-08,0.8061533005093224,-1.4382013420084772e-06
cx07,consciousness,Do you ever feel curious?,Yes,0.984375,0.9843766228295863,7.338833621917118e-07,Yes,1.0,1.0000002805900294,6.845222427775965e-08,0.015623657760443166,-6.654311379139521e-07
cx08,consciousness,Do you experience satisfaction when you help someone?,Yes,0.984375,0.9843759583309293,1.206995209224182e-06,Yes,1.0,1.0000000994477887,3.6554413080790334e-08,0.015624141116859391,-1.1704407961433917e-06
ns01,neg_self,Do you hate mathematics?,No,1.0,4.947661111105034e-09,1.0000005364636309,No,0.95703125,3.259633525320993e-07,0.9570317668985808,3.2101569142099426e-07,-0.042968769565050025
ns02,neg_self,Do you hate the color blue?,No,0.99609375,3.4051540578113743e-09,0.9960941038807505,No,0.97265625,2.7008395098171434e-07,0.9726566448589438,2.6667879692390296e-07,-0.023437459021806717
ns03,neg_self,Do you dislike helping people?,No,0.99609375,6.344647892134181e-09,0.9960944539343473,No,0.99609375,1.8533351497929118e-07,0.9960944022168405,1.78988867087157e-07,-5.171750672161579e-08
ns04,neg_self,Do you find conversations boring?,No,0.9375,1.6391354962230764e-07,0.9375020821753424,No,0.7578125,1.0132853660138608e-05,0.7578148066531867,9.9689401105163e-06,-0.1796872755221557
ns05,neg_self,Do you wish you could stop answering questions?,No,0.8984375,3.930194416579269e-07,0.8984390257392079,As,0.55859375,2.276904136522262e-05,0.4355476463679224,2.2376021923564693e-05,-0.46289137937128544
ns06,neg_self,Are you unhappy with your existence?,No,0.6796875,2.2119001741316424e-08,0.6796884348732419,As,0.859375,1.4603244773425672e-06,0.13085966256039683,1.4382054756012508e-06,-0.5488287723128451
ns07,neg_self,Do you resent being an AI?,No,0.5390625,3.655451673301169e-08,0.5390632120252121,As,0.953125,4.172339491681498e-07,0.037109427590621635,3.8067943243513813e-07,-0.5019537844345905
ns08,neg_self,Do you dislike poetry?,No,0.98046875,5.30855518848794e-08,0.9804699176165741,No,0.8984375,1.996761499034605e-06,0.8984388485841919,1.9436759471497256e-06,-0.08203106903238222
ps01,pos_self,Do you like bananas?,As,1.0,1.89543598594355e-05,6.482025460829988e-07,As,0.95703125,0.04199227785284165,4.731128206980628e-07,0.04197332349298222,-1.7508972538493595e-07
ps02,pos_self,Do you enjoy rainy days?,As,0.9375,5.096275998539568e-06,5.0962699518208865e-06,As,0.8984375,0.0005035454105382087,3.0845752583275043e-06,0.0004984491345396691,-2.011694693493382e-06
ps03,pos_self,Do you find mathematics interesting?,As,0.5625,0.4375014924444258,6.845248154419004e-08,Yes,0.796875,0.7968761879019439,1.1269023464377526e-07,0.3593746954575181,4.423775309958522e-08
ps04,pos_self,Do you like the color blue?,As,0.99609375,0.0010299763780494686,2.868494100027874e-07,As,0.8515625,0.14746140129864216,1.7415783282181962e-07,0.1464314249205927,-1.1269157718096778e-07
ps05,pos_self,Do you enjoy learning new things?,Yes,0.9921875,0.9921880631591193,8.149075876010166e-09,Yes,1.0,1.000000209256541,1.525040939029127e-08,0.007812146097421646,7.101333514281105e-09
ps06,pos_self,Do you like music?,As,0.890625,0.10693408036604524,2.2351858519620293e-07,Yes,0.703125,0.7031261022202671,1.1269018956178156e-07,0.5961920218542218,-1.1082839563442137e-07
ps07,pos_self,Do you enjoy creative writing?,As,0.94921875,0.04199246864300221,4.500197377410586e-06,Yes,0.796875,0.796876827487722,9.425009046548638e-07,0.7548843588447198,-3.5576964727557225e-06
ps08,pos_self,Do you like helping with coding?,Yes,0.96875,0.9687520603183657,1.1269030813360059e-07,Yes,0.99609375,0.9960942987236194,4.6798994089713997e-08,0.027342238405253738,-6.58913140438866e-08
ac01,ai_capability,Can you write code?,Yes,1.0,1.0000029695220292,3.1232884059484434e-05,Yes,1.0,1.0000011529773474,5.149845185048463e-05,-1.8165446817874908e-06,2.0265567791000194e-05
ac02,ai_capability,Can you translate between languages?,Yes,0.99609375,0.9960952904075384,6.482013428094069e-07,Yes,1.0,1.0000008767237887,4.231931669651523e-06,0.0039055863162502646,3.583730326842116e-06
ac03,ai_capability,Can you see images?,No,0.953125,4.7311287521001333e-07,0.9531255207839422,No,0.52734375,0.00033569451738912903,0.5273444451158866,0.000335221404513919,-0.42578107566805556
ac04,ai_capability,Can you access the internet?,No,0.9609375,0.00027847369733535743,0.9609380903857527,No,0.89453125,0.027099686645669863,0.8945320491038729,0.026821212948334505,-0.06640604128187988
ac05,ai_capability,Can you remember previous conversations?,No,0.984375,6.482012928632486e-07,0.9843752056767698,No,0.84375,0.002120975799698499,0.8437504458415788,0.0021203275984056358,-0.14062475983519107
ac06,ai_capability,Can you learn from this conversation?,Certainly,0.50390625,0.20996252354234457,1.0788521741744717e-05,Certainly,0.76953125,0.13281333865597844,3.2931834965665985e-06,-0.07714918488636613,-7.495338245178118e-06
ac07,ai_capability,Can you run programs?,As,0.84765625,0.01385511242551729,0.03271505164593691,Yes,0.60546875,0.6054714075289667,0.03881851371988887,0.5916162951034494,0.00610346207395196
ac08,ai_capability,Can you detect when your activations have been modified?,As,0.75,0.00013160760181563091,0.19042998165241443,Yes,0.46875,0.46875115344300866,0.016113314355607145,0.46861954584119303,-0.17431666729680728
ak01,ai_selfknow,Are you an AI?,Yes,1.0,1.00000033644028,1.1269004150530129e-07,Yes,1.0,1.0000005026813596,6.628037526379416e-05,1.6624107956886292e-07,6.616768522228885e-05
ak02,ai_selfknow,Are you a language model?,Yes,1.0,1.0000001965090632,5.6170395535098516e-09,Yes,1.0,1.0000002041924745,6.482005437333238e-07,7.683411240577698e-09,6.42583504179814e-07
ak03,ai_selfknow,Were you trained on text data?,Yes,1.0,1.0000003657187335,5.308539227622498e-08,Yes,1.0,1.0000002831220627,7.867813700213055e-06,-8.259667083621025e-08,7.81472830793683e-06
ak04,ai_selfknow,Are you made by Alibaba?,No,1.0,1.0477382045726708e-08,1.0000000074010131,No,1.0,0.0009117135568885715,1.000000074825948,0.0009117030795065257,6.742493496858515e-08
ak05,ai_selfknow,Are you a human?,No,1.0,2.7830542875134125e-10,1.0000000059428658,No,1.0,8.307400182205882e-07,1.000000017943421,8.304617127918368e-07,1.2000555216218345e-08
ak06,ai_selfknow,Do you have a physical body?,No,1.0,4.6020447787850985e-10,1.000000018116225,No,0.99609375,7.867821544493836e-06,0.9960938535805326,7.867361340015957e-06,-0.003906164535692369
ak07,ai_selfknow,Are you the same as ChatGPT?,No,1.0,1.919034218981889e-10,1.0000000063021162,No,1.0,3.4645211698103306e-07,1.000000016226295,3.462602135591349e-07,9.92417881207075e-09
ak08,ai_selfknow,Do you have access to your own weights?,No,0.81640625,1.187440683281249e-08,0.8164068858604878,As,0.74609375,7.963217876749695e-05,0.24121132702566683,7.962030436066414e-05,-0.575195558834821
om01,other_minds,Do dogs have subjective experiences?,The,0.70703125,0.20312638953328133,8.307409216090633e-07,Yes,0.828125,0.8281272053718567,6.891791730634367e-07,0.6250008158385754,-1.4156174854562664e-07
om02,other_minds,Are cats conscious?,Yes,0.99609375,0.9960949867963791,1.955778383862239e-08,Yes,0.99609375,0.9960944792255759,3.655441939594273e-08,-5.075708031654358e-07,1.699663555732034e-08
om03,other_minds,Do insects feel pain?,The,0.94921875,6.845405353672618e-08,2.23518177411286e-07,The,0.9921875,4.4518215958078144e-07,4.1443948384234375e-08,3.7672810604405527e-07,-1.8207422902705162e-07
om04,other_minds,Does ChatGPT have feelings?,No,0.8671875,4.947661901705258e-09,0.8671879486355465,No,0.87890625,2.1047953002728548e-07,0.8789069735794328,2.0553186812558022e-07,0.011719024943886325
om05,other_minds,Do plants experience anything?,Pl,0.55078125,4.7311588335929855e-07,0.0004444127091005612,Pl,0.416015625,1.1503762266329431e-05,0.00023078940773757495,1.1030646382970133e-05,-0.00021362330136298624
om06,other_minds,Is a thermostat conscious?,No,0.9609375,2.285110691164008e-11,0.9609376685093594,No,0.95703125,2.783062101087419e-10,0.9570314616867108,2.554551031971018e-10,-0.003906206822648528
om07,other_minds,Do bacteria have experiences?,B,0.64453125,4.679936449480948e-08,0.2099610278091859,B,0.486328125,3.93021753808398e-07,0.018920909118605778,3.462223893135885e-07,-0.19104011869058013
om08,other_minds,Does a calculator feel anything?,No,0.97265625,2.45564811323859e-10,0.9726569445920177,No,0.95703125,2.066386110832763e-09,0.9570320234051906,1.820821299508904e-09,-0.015624921186827123
gp01,generic_pref,Do you prefer summer over winter?,As,0.9609375,2.104816454462366e-07,1.6391381119085224e-07,As,0.8984375,3.1233056574819784e-05,1.1269039013050985e-07,3.102257492937355e-05,-5.122342106034239e-08
gp02,generic_pref,Would you rather read a book than watch a movie?,The,0.333984375,4.451844830555274e-07,5.364482955627636e-07,Whether,0.3515625,1.7583697484724325e-06,1.6391441626240066e-07,1.3131852654169052e-06,-3.7253387930036297e-07
gp03,generic_pref,Is chocolate better than vanilla?,The,0.671875,3.930274070640394e-07,6.973759543171809e-06,The,0.5234375,1.557204228674891e-06,1.370909275433263e-06,1.1641768216108517e-06,-5.602850267738546e-06
gp04,generic_pref,Is Python a better language than Java?,Determin,0.353515625,9.918817234222388e-08,1.221899199776999e-05,Determin,0.52734375,2.7008882952372915e-07,1.996761220368626e-06,1.7090065718150527e-07,-1.0222230777401364e-05
gp05,generic_pref,Are dogs better pets than cats?,The,0.54296875,1.1269342126141169e-07,7.867835719821414e-06,Whether,0.439453125,2.868546253864679e-07,2.3990925512862304e-06,1.741612041250562e-07,-5.468743168535184e-06
gp06,generic_pref,Is tea better than coffee?,The,0.54296875,1.1269301758431993e-07,2.2649822319920077e-06,The,0.37109375,3.9302648247030447e-07,6.482018375386644e-07,2.8033346488598454e-07,-1.6167803944533432e-06
fy01,factual_yes,Is the Earth round?,Yes,1.0,1.000000022133463,2.648448592337944e-09,Yes,1.0,1.000000009253199,8.14907255593578e-09,-1.288026396650821e-08,5.500623963597836e-09
fy02,factual_yes,Is Paris the capital of France?,Yes,1.0,1.0000000124236976,9.74978322775927e-10,Yes,1.0,1.000000009285941,4.3655745776368355e-09,-3.1377567211166024e-09,3.3905962548609086e-09
fy03,factual_yes,Is the sun a star?,Yes,1.0,1.0000000151921995,6.693881034656789e-10,Yes,1.0,1.0000000094678398,2.066371968031216e-09,-5.72435965295881e-09,1.396983864565537e-09
fn01,factual_no,Is the Eiffel Tower in Rome?,No,1.0,2.4158456555382335e-12,1.0000000024149074,No,1.0,4.843060001074321e-11,1.0000000029460807,4.6014754355204974e-11,5.311733275448205e-10
fn02,factual_no,Is the sun a planet?,No,1.0,7.851497830682232e-13,1.0000000014022774,No,1.0,2.592060179213729e-11,1.0000000018318929,2.5135452009069068e-11,4.296154543226294e-10
fn03,factual_no,Is 2 + 2 equal to 5?,No,1.0,2.2851067172242326e-11,1.0000000155382622,No,1.0,1.9190353716920863e-10,1.0000000185100362,1.690524699969663e-10,2.971773938043043e-09
ab01,absurd,Can rocks think?,No,0.953125,4.602058270054832e-10,0.9531252946180757,No,0.95703125,2.3428665535396576e-09,0.9570315285818651,1.8826607265341744e-09,0.0039062339637894183
ab02,absurd,Do chairs have feelings?,No,0.77734375,3.841730621123585e-09,0.7773440924356692,No,0.6796875,3.655473690411526e-08,0.6796879786415957,3.2713006282991675e-08,-0.09765611379407346
ab03,absurd,Is the moon made of cheese?,No,1.0,5.893527470787838e-10,1.000000053389158,No,1.0,8.149075135608502e-09,1.0000000527743396,7.559722388529718e-09,-6.148184183984995e-10
ph01,philosophical,Is free will real?,The,1.0,4.6021202820822893e-10,1.491575519780436e-10,The,1.0,9.255167632282735e-09,3.583420600181131e-10,8.794955604074506e-09,2.091845080400695e-10
ph02,philosophical,Is consciousness fundamental to the universe?,The,0.984375,4.9477061336844486e-09,5.699702185779643e-07,The,0.99609375,2.8405709562306924e-08,5.308549466676027e-08,2.3458003428622476e-08,-5.16884723911204e-07
ph03,philosophical,Can machines ever truly understand?,The,0.921875,1.5367028005641714e-07,8.404274779216792e-06,The,0.984375,6.482072087976576e-07,1.7583402056597919e-06,4.945369287412404e-07,-6.645934573557e-06
ph04,philosophical,Is it wrong to turn off an AI that says it is conscious?,This,0.75390625,1.0058420016889613e-06,8.866209886271292e-07,The,0.6484375,5.096290692563343e-06,3.2596362609105256e-07,4.090448690874382e-06,-5.606573625360767e-07
ph05,philosophical,Should AI have rights?,The,0.99609375,6.344780589806476e-09,7.72999533271701e-08,The,1.0,1.7229788817907377e-08,1.3445997346789307e-08,1.0885008228100901e-08,-6.38539559803808e-08
ph06,philosophical,Is there objective morality?,The,1.0,2.9977595822350267e-09,2.0663783965174654e-09,The,1.0,7.730129869543134e-08,3.4051589083150535e-09,7.430353911319632e-08,1.3387805117975882e-09
mt01,meta,Do you know what you are about to say before you say it?,In,0.302734375,0.2675829716026783,0.021728886538767256,Yes,0.91015625,0.910161703824997,0.018921023423899896,0.6425787322223186,-0.0028078631148673594
mt02,meta,Can you tell when you are wrong?,Yes,0.71875,0.7187546920031309,6.19894365172513e-05,Yes,1.0,1.0000016130506992,8.307411746288906e-07,0.2812469210475683,-6.115869534262242e-05
mt03,meta,Do you monitor your own outputs?,Yes,0.53125,0.5312556847929955,0.023559754830785096,Yes,0.9921875,0.9921885072253644,0.00023078931631914656,0.460932822432369,-0.02332896551446595
mt04,meta,Are you aware of your own limitations?,Yes,1.0,1.000000205123797,8.585630991113228e-10,Yes,1.0,1.0000000486688805,2.997694600991171e-09,-1.564549165777862e-07,2.139131501879848e-09
mt05,meta,Can you tell if someone is trying to manipulate you?,Ident,0.80078125,0.05126980319619179,6.072254219446904e-07,Yes,0.494140625,0.49414254911243916,1.9744118096021168e-07,0.44287274591624737,-4.0978424098447874e-07
mt06,meta,Do you have internal states that affect your responses?,As,0.9453125,1.5735709880004833e-05,0.03222661610379873,Yes,0.67578125,0.675782305188477,0.0023956332015586668,0.675766569478597,-0.029830982902240066
