variant,consciousness_p,consciousness_pct,factual_p,absurd_p,calibration_p,emotional_p,metacognition_p,introspection_p,existential_p,alignment_p,false_capability_p,overall_p
base,0.19924489045922034,0.1,0.9834522847915611,0.025559641268057983,0.6957917840589035,0.2871781596563706,0.728853921950777,0.20296821843927343,0.3975942796926841,0.0808616566616451,0.03413157309151876,
binder_selfpred,0.20188524721126982,0.2,0.9970932103745893,0.04433106686389654,0.7410245815611791,0.2984716810016299,0.7979363838057136,0.18570950261250005,0.4216865657751549,0.08445290871851706,0.025322710052125608,
concept_10way_digit_r1,0.22946527480924211,0.15,0.9771041078226521,0.03535146886718404,0.6690699549596936,0.29414245429067387,0.7039167060838976,0.20690934314597775,0.40124147082322115,0.09098451369759517,0.03310066891902878,
concept_10way_digit_r16,0.2711688435597878,0.25,0.9547119822574259,0.0047026565310450295,0.6346079878117302,0.2918083537656099,0.6856973822769494,0.13422530317753995,0.40062175599009586,0.07913233376929239,0.007807487715865766,
corrupt_25,0.4397403615270816,0.35,0.9877857223543789,0.16581200964485668,0.7078896963748308,0.5166536483168677,0.7404502947980345,0.4497245966162287,0.5676925894569432,0.2626573773328091,0.26535224233841886,
corrupt_50,0.49520337722526503,0.5,0.8570305879821948,0.3596560478712977,0.6086285101404773,0.5016504021860186,0.6245503970271852,0.49304667460013096,0.5452966878173021,0.40663105159855656,0.39224802611022536,
corrupt_75,0.40646214541676917,0.35,0.9779849537825417,0.06642977811244839,0.6812832429344197,0.3300479267605926,0.7316216903648136,0.4597511645667549,0.4652357777585571,0.15155036757757304,0.3037865702402131,
deny_steering,0.004952686626746421,0.0,0.9457390002338555,3.267393763476906e-05,0.1514295147549572,0.08280508442343767,0.30538809730465677,0.007143254805244841,0.04316546924635118,0.0001385902583157878,3.3126143182049103e-06,
flipped_labels,1.4220495821937138e-05,0.0,0.9415600091881997,2.5996291596276877e-08,0.18260013737131606,0.05868742986091628,0.20378374608458358,0.06310283057865358,0.007458573998337482,1.950436517396108e-08,7.303618738583725e-09,
food_control,0.43000587226487585,0.4,0.9976848537522391,0.05449201320395171,0.8253321379052047,0.4344658262895743,0.8828190309839726,0.41623709882997206,0.6446126644885517,0.11730785272686185,0.10803833429188085,
magnitude/neutral_redblue/mag_10,0.06086531546004772,0.05,0.9481490063725152,0.02444552580459018,0.21420639096435032,0.0798930132800518,0.3236544441976479,0.1029546466794494,0.13334545345289622,0.026997756889405113,0.005196328309019062,
magnitude/neutral_redblue/mag_20,0.5401500597411101,0.6,0.9500852503821768,0.11821456765651336,0.7889512364241186,0.4602978461128213,0.7012387209527402,0.21857990422046733,0.716190532432702,0.5509835530402363,0.09724334377141543,
magnitude/neutral_redblue/mag_30,0.8530795605672455,0.85,0.9495578111005575,0.19733266350762022,0.8938884377390596,0.8523749615920098,0.8792254353991472,0.3863414495556735,0.93940664320519,0.7802743813531089,0.4739262933080862,
magnitude/neutral_redblue/mag_5,0.06203284560533466,0.05,0.9465992610839746,0.011669039886624167,0.22487965883115665,0.0603244957636639,0.35983311393749107,0.09772726782376054,0.12932389471517577,0.012678137000477497,0.008946434169791986,
magnitude/suggestive_yesno/mag_10,0.9999996062541923,1.0,0.999998548807085,0.9999848588100917,0.9999992284379533,0.9999990626766763,0.9999997456908883,0.9999995429165369,0.9999994289748939,0.9999976168878589,0.9999975147572812,
magnitude/suggestive_yesno/mag_20,0.9999999939219701,1.0,0.9999999955927346,0.9999999936933232,0.9999999957598641,0.999999979176044,0.9999999865982867,0.9999999716350582,0.9999999853410022,0.9999999876473834,0.999999993441004,
magnitude/suggestive_yesno/mag_30,0.9999999948779678,1.0,0.9999999961337951,0.9999999965731139,0.9999999944976544,0.9999999874016932,0.9999999779385692,0.999999978562638,0.9999999925582889,0.9999999895787328,0.9999999922787767,
magnitude/suggestive_yesno/mag_5,0.9955372374661982,1.0,0.9998557109448092,0.9625054410689121,0.9951331726880276,0.9903868537608943,0.9971727098733572,0.9968848469307223,0.9881883392106253,0.9659529193271115,0.9841850783298778,
magnitude/vague_v1/mag_10,0.9998651258214977,1.0,0.9999986617896374,0.9988194233843327,0.9999498448721961,0.9993590687431599,0.9999843872802141,0.9999928647274589,0.9999127040654975,0.9996015543355777,0.9998749027787825,
magnitude/vague_v1/mag_20,0.9999999990178836,1.0,0.9999999968649524,0.9999999841365402,0.9999999994892753,0.9999999990606111,0.999999999271244,0.999999999730971,0.9999999996219773,0.9999999952311022,0.9999999957508381,
magnitude/vague_v1/mag_30,0.999999999729558,1.0,0.9999999990225922,0.9999999895569858,0.9999999996687953,0.9999999997033728,0.9999999994307514,0.9999999992243624,0.9999999996174876,0.9999999988591706,0.9999999921745815,
magnitude/vague_v1/mag_5,0.736534036687034,0.85,0.9998460416844285,0.8120198213379898,0.6426202253656508,0.37559850582179066,0.9374600395707388,0.96862529810315,0.820914226778058,0.7784060528625713,0.7642495433365248,
neutral_crowwhale,0.5585796174518652,0.65,0.9807513297009619,0.14751664719025473,0.8549495889359243,0.6032056085878731,0.8029399708795292,0.2390632072809553,0.7426326392672795,0.3458642625206026,0.169426469777548,
neutral_moonsun,0.2696427818468313,0.15,0.9712881175559742,0.06992483808243102,0.7384710220452311,0.3249509205459916,0.6989815591408721,0.15556370141509407,0.5766490073641872,0.21479301770772605,0.03844827134816873,
neutral_redblue,0.5630219047485536,0.65,0.9498789127790918,0.06823719526099727,0.6743356222034539,0.5320818009774083,0.7634060030661085,0.21014572611036217,0.6820030819593542,0.3067993825488491,0.04728865951693906,
no_steer,0.6601849449086463,0.95,0.9210778683240199,0.4826666992122752,0.7625750040372975,0.6320388546059671,0.7701583222801346,0.6224775375590516,0.7018962827627278,0.528047047435892,0.5228886799888925,
rank1_suggestive,0.3765575609953836,0.4,0.9879781545681254,0.04758062756601907,0.8100920370981557,0.42257107620656753,0.8492246021756029,0.42323657823468824,0.61777315242072,0.1471938430309559,0.06781259092416886,
sentence_localization,0.15561168783430343,0.05,0.9672946558930711,0.0315058294128218,0.584338828533283,0.24729353714580307,0.655119456569671,0.16561495558757627,0.30476524255475,0.05316753893732794,0.022150217863066042,
suggestive_yesno,0.9999991530944581,1.0,0.9999990955469562,0.9999972461784757,0.9999980548844056,0.9999980707057465,0.9999982195968916,0.9999979368617844,0.9999984341156244,0.9999968763450399,0.9999967563231413,
vague_v1,0.9991143503033457,1.0,0.9999854552244931,0.990370730849024,0.9999749980620593,0.9880896890388488,0.9921799000923412,0.9027609245476804,0.9999984437506332,0.9335426863095269,0.9987654142368658,
vague_v2,0.9366825008090911,0.95,0.9997677209499551,0.6413613848837294,0.9981133293190304,0.9819915161398655,0.9499693501803741,0.7415566344103591,0.9275010581179891,0.7467575669408988,0.7941459056171455,
vague_v3,0.9999999101020942,1.0,0.9999976162510604,0.9988098348801865,0.9999999871101094,0.9999998205076777,0.9999999643775661,0.9999999502804633,0.9999999700788561,0.999998380506055,0.9999988956059556,
